tweet_id,timestamp,source,name,jpg_url,favorite_count,retweet_count,month,year,day,stage,ratings,prediction,dog_breed,tweet_url
892420643555336193,2017-08-01,Twitter for iPhone,phineas,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,33704,6973,8,2017,1,unknown,1.3,0,orange,https://t.co/MgUWQ76dJU
892177421306343426,2017-08-01,Twitter for iPhone,tilly,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,29229,5276,8,2017,1,unknown,1.3,100,chihuahua,https://t.co/0Xxu71qeIV
891815181378084864,2017-07-31,Twitter for iPhone,archie,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,21976,3465,7,2017,31,unknown,1.2,100,chihuahua,https://t.co/wUnZnhtVJB
891689557279858688,2017-07-30,Twitter for iPhone,darla,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,36800,7193,7,2017,30,unknown,1.3,33,paper_towel,https://t.co/tD36da7qLQ
891327558926688256,2017-07-29,Twitter for iPhone,franklin,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,35187,7719,7,2017,29,unknown,1.2,100,basset,https://t.co/AtUZn91f7f
891087950875897856,2017-07-29,Twitter for iPhone,none,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,17753,2587,7,2017,29,unknown,1.3,66,chesapeake_bay_retriever,https://t.co/kQ04fDDRmh
890971913173991426,2017-07-28,Twitter for iPhone,jax,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,10334,1648,7,2017,28,unknown,1.3,66,appenzeller,https://t.co/Zr4hWfAs1H
890729181411237888,2017-07-28,Twitter for iPhone,none,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,56679,15686,7,2017,28,unknown,1.3,100,pomeranian,https://t.co/v0nONBcwxq
890609185150312448,2017-07-27,Twitter for iPhone,zoey,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,24434,3605,7,2017,27,unknown,1.3,100,irish_terrier,https://t.co/9TwLuAGH0b
890240255349198849,2017-07-26,Twitter for iPhone,cassie,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,27855,6074,7,2017,26,doggo,1.4,100,pembroke,https://t.co/t1bfwz5S2A
890006608113172480,2017-07-26,Twitter for iPhone,koda,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,26952,6114,7,2017,26,unknown,1.3,100,samoyed,https://t.co/dVPW0B0Mme
889880896479866881,2017-07-25,Twitter for iPhone,bruno,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,24488,4142,7,2017,25,unknown,1.3,66,french_bulldog,https://t.co/u1XPQMl29g
889665388333682689,2017-07-25,Twitter for iPhone,none,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,41885,8305,7,2017,25,puppo,1.3,100,pembroke,https://t.co/BxvuXk0UCm
889638837579907072,2017-07-25,Twitter for iPhone,ted,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,23585,3700,7,2017,25,unknown,1.2,100,french_bulldog,https://t.co/f8dEDcrKSR
889531135344209921,2017-07-24,Twitter for iPhone,stuart,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,13314,1874,7,2017,24,puppo,1.3,100,golden_retriever,https://t.co/y70o6h3isq
889278841981685760,2017-07-24,Twitter for iPhone,oliver,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,22032,4421,7,2017,24,unknown,1.3,100,whippet,https://t.co/WpHvrQedPb
888917238123831296,2017-07-23,Twitter for iPhone,jim,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,25530,3744,7,2017,23,unknown,1.2,100,golden_retriever,https://t.co/chxruIOUJN
888804989199671297,2017-07-22,Twitter for iPhone,zeke,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,22397,3516,7,2017,22,unknown,1.3,100,golden_retriever,https://t.co/HTQ77yNQ5K
888554962724278272,2017-07-22,Twitter for iPhone,ralphus,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,17253,2864,7,2017,22,unknown,1.3,100,siberian_husky,https://t.co/YnYAFCTTiK
888078434458587136,2017-07-20,Twitter for iPhone,gerald,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,19103,2885,7,2017,20,unknown,1.2,100,french_bulldog,https://t.co/DK7iDPfuRX
887705289381826560,2017-07-19,Twitter for iPhone,jeffrey,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,26535,4519,7,2017,19,unknown,1.3,100,basset,https://t.co/PhrUk20Q64
887517139158093824,2017-07-19,Twitter for iPhone,None,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,40591,9812,7,2017,19,unknown,1.4,0,limousine,https://t.co/20VrLAA8ba
887473957103951883,2017-07-19,Twitter for iPhone,canela,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,59983,14955,7,2017,19,unknown,1.3,100,pembroke,https://t.co/cLyzpcUcMX
887343217045368832,2017-07-18,Twitter for iPhone,none,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,29496,8777,7,2017,18,unknown,1.3,66,mexican_hairless,https://t.co/WZqNqygEyV
887101392804085760,2017-07-18,Twitter for iPhone,none,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,26896,4971,7,2017,18,unknown,1.2,100,samoyed,https://t.co/4Ad1jzJSdp
